-DOCSTART- -X- -X- O U

SOCCER NN B-NP O U
- : O O U
JAPAN NNP B-NP B-LOC U
GET VB B-VP O U
LUCKY NNP B-NP O U
WIN NNP I-NP O U
, , O O U
yHIgz NNP B-NP B-PER M-3
IN IN B-PP O U
SURPRISE DT B-NP O U
DEFEAT NN I-NP O U
. . O O U

qaliw NNP B-NP B-PER M-3
Iualki NNP I-NP I-PER M-3

AL-AIN NNP B-NP B-LOC U
, , O O U
United NNP B-NP B-LOC U
omb NNP I-NP I-LOC M-3
Emirutc5 NNPS I-NP I-LOC M-3
1996-12-06 CD I-NP O U

Jsoun NNP B-NP B-LOC M-3
began VBD B-VP O U
the DT B-NP O U
defence NN I-NP O U
of IN B-PP O U
their PRP$ B-NP O U
A5lari JJ I-NP B-MISC M-3
soo NNP I-NP I-MISC M-3
title NN I-NP O U
with IN B-PP O U
a DT B-NP O U
lucky JJ I-NP O U
2-1 CD I-NP O U
win VBP B-VP O U
against IN B-PP O U
Syntu NNP B-NP B-LOC M-3
in IN B-PP O U
a DT B-NP O U
Group NNP I-NP O U
C NNP I-NP O U
championship NN I-NP O U
match NN I-NP O U
on IN B-PP O U
Friday NNP B-NP O U
. . O O U

But CC O O U
xhjra NNP B-NP B-LOC M-3
saw VBD B-VP O U
their PRP$ B-NP O U
luck NN I-NP O U
desert VB B-VP O U
them PRP B-NP O U
in IN B-PP O U
the DT B-NP O U
second NN I-NP O U
match NN I-NP O U
of IN B-PP O U
the DT B-NP O U
group NN I-NP O U
, , O O U
crashing VBG B-VP O U
to TO B-PP O U
a DT B-NP O U
surprise NN I-NP O U
2-0 CD I-NP O U
defeat NN I-NP O U
to TO B-PP O U
newcomers NNS B-NP O U
Uxoehistan NNP I-NP B-LOC M-3
. . O O U

fhjria NNP B-NP B-LOC M-3
controlled VBD B-VP O U
most JJS B-NP O U
of IN B-PP O U
the DT B-NP O U
match NN I-NP O U
and CC O O U
saw VBD B-VP O U
several JJ B-NP O U
chances NNS I-NP O U
missed VBD B-VP O U
until IN B-SBAR O U
the DT B-NP O U
78th JJ I-NP O U
minute NN I-NP O U
when WRB B-ADVP O U
Uzbek NNP B-NP B-MISC U
striker NN I-NP O U
Igor JJ B-NP B-PER U
Sbkvvrtn NNP I-NP I-PER M-3
took VBD B-VP O U
advantage NN B-NP O U
of IN B-PP O U
a DT B-NP O U
misdirected JJ I-NP O U
defensive JJ I-NP O U
header NN I-NP O U
to TO B-VP O U
lob VB I-VP O U
the DT B-NP O U
ball NN I-NP O U
over IN B-PP O U
the DT B-NP O U
advancing VBG I-NP O U
Cnlriese JJ I-NP B-MISC M-3
keeper NN I-NP O U
and CC O O U
into IN B-PP O U
an DT B-NP O U
empty JJ I-NP O U
net NN I-NP O U
. . O O U

G!cg NNP B-NP B-PER M-3
Shstshikn NNP I-NP I-PER M-3
made VBD B-VP O U
sure JJ B-ADJP O U
of IN B-PP O U
the DT B-NP O U
win VBP B-VP O U
in IN B-PP O U
injury NN B-NP O U
time NN I-NP O U
, , O O U
hitting VBG B-VP O U
an DT B-NP O U
unstoppable JJ I-NP O U
left VBD B-VP O U
foot NN B-NP O U
shot NN I-NP O U
from IN B-PP O U
just RB B-NP O U
outside IN B-PP O U
the DT B-NP O U
area NN I-NP O U
. . O O U

The DT B-NP O U
former JJ I-NP O U
Soyioi JJ I-NP B-MISC M-3
republic NN I-NP O U
was VBD B-VP O U
playing VBG I-VP O U
in IN B-PP O U
an DT B-NP O U
A9tsn NNP I-NP B-MISC M-3
hoo NNP I-NP I-MISC M-3
finals NNS I-NP O U
tie NN I-NP O U
for IN B-PP O U
the DT B-NP O U
first JJ I-NP O U
time NN I-NP O U
. . O O U

Despite IN B-PP O U
winning VBG B-VP O U
the DT B-NP O U
qctan JJ I-NP B-MISC M-3
6sme8 NNPS I-NP I-MISC M-3
title NN I-NP O U
two CD B-NP O U
years NNS I-NP O U
ago RB B-ADVP O U
, , O O U
ilzbehistsn NNP B-NP B-LOC M-3
are VBP B-VP O U
in IN B-PP O U
the DT B-NP O U
finals NNS I-NP O U
as IN B-SBAR O U
outsiders NNS B-NP O U
. . O O U

Two CD B-NP O U
goals NNS I-NP O U
from IN B-PP O U
defensive JJ B-NP O U
errors NNS I-NP O U
in IN B-PP O U
the DT B-NP O U
last JJ I-NP O U
six CD I-NP O U
minutes NNS I-NP O U
allowed VBD B-VP O U
Juoun NNP B-NP B-LOC M-3
to TO B-VP O U
come VB I-VP O U
from IN B-PP O U
behind NN B-NP O U
and CC O O U
collect VB B-VP O U
all DT B-NP O U
three CD I-NP O U
points NNS I-NP O U
from IN B-PP O U
their PRP$ B-NP O U
opening NN I-NP O U
meeting NN I-NP O U
against IN B-PP O U
Syria NNP B-NP B-LOC U
. . O O U

Yukuyu NNP B-NP B-PER M-3
Tukahl NNP I-NP I-PER M-3
scored VBD B-VP O U
the DT B-NP O U
winner NN I-NP O U
in IN B-PP O U
the DT B-NP O U
88th JJ I-NP O U
minute NN I-NP O U
, , O O U
rising VBG B-VP O U
to TO I-VP O U
head VB I-VP O U
a DT B-NP O U
Hino5nige NNP I-NP B-PER M-3
Yariuglmoto NNP I-NP I-PER M-3
cross VB B-VP O U
towards IN B-PP O U
