-DOCSTART- -X- -X- O U

SOCCER NN B-NP O U
- : O O U
JAPAN NNP B-NP B-LOC U
GET VB B-VP O U
LiluKY NNP B-NP O M-2
WIN NNP I-NP O U
, , O O U
CHINA NNP B-NP B-PER U
Jb IN B-PP O M-2
SURPRISE DT B-NP O U
DEFEAT NN I-NP O U
. . O O U

Nadim NNP B-NP B-PER U
Ladki NNP I-NP I-PER U

AL-yLN NNP B-NP B-LOC M-2
, , O O U
United NNP B-NP B-LOC U
Arab NNP I-NP I-LOC U
Emimtes NNPS I-NP I-LOC M-2
199f-12i06 CD I-NP O M-2

Japan NNP B-NP B-LOC U
began VBD B-VP O U
the DT B-NP O U
defence NN I-NP O U
of IN B-PP O U
their PRP$ B-NP O U
Asian JJ I-NP B-MISC U
Cup NNP I-NP I-MISC U
title NN I-NP O U
with IN B-PP O U
a DT B-NP O U
lucky JJ I-NP O U
2-1 CD I-NP O U
win VBP B-VP O U
against IN B-PP O U
Syria NNP B-NP B-LOC U
in IN B-PP O U
a DT B-NP O U
Group NNP I-NP O U
C NNP I-NP O U
champion9kip NN I-NP O M-2
match NN I-NP O U
on IN B-PP O U
Friday NNP B-NP O U
. . O O U

But CC O O U
China NNP B-NP B-LOC U
saw VBD B-VP O U
their PRP$ B-NP O U
lnch NN I-NP O M-2
desert VB B-VP O U
them PRP B-NP O U
tri IN B-PP O M-2
the DT B-NP O U
second NN I-NP O U
match NN I-NP O U
of IN B-PP O U
fho DT B-NP O M-2
group NN I-NP O U
, , O O U
crashing VBG B-VP O U
to TO B-PP O U
a DT B-NP O U
9unprise NN I-NP O M-2
2-0 CD I-NP O U
defeat NN I-NP O U
f6 TO B-PP O M-2
newcomers NNS B-NP O U
Uzbekistan NNP I-NP B-LOC U
. . O O U

Chlha NNP B-NP B-LOC M-2
controlled VBD B-VP O U
mqat JJS B-NP O M-2
of IN B-PP O U
the DT B-NP O U
match NN I-NP O U
and CC O O U
saw VBD B-VP O U
several JJ B-NP O U
chances NNS I-NP O U
missed VBD B-VP O U
until IN B-SBAR O U
fhc DT B-NP O M-2
z8ih JJ I-NP O M-2
mlnvte NN I-NP O M-2
when WRB B-ADVP O U
ilzbck NNP B-NP B-MISC M-2
striker NN I-NP O U
Ivoc JJ B-NP B-PER M-2
Shkvyrin NNP I-NP I-PER U
took VBD B-VP O U
advantage NN B-NP O U
of IN B-PP O U
a DT B-NP O U
misdirected JJ I-NP O U
defensive JJ I-NP O U
header NN I-NP O U
to TO B-VP O U
lob VB I-VP O U
the DT B-NP O U
ball NN I-NP O U
over IN B-PP O U
the DT B-NP O U
advancing VBG I-NP O U
Chinese JJ I-NP B-MISC U
keooer NN I-NP O M-2
and CC O O U
into IN B-PP O U
an DT B-NP O U
empty JJ I-NP O U
net NN I-NP O U
. . O O U

Oleg NNP B-NP B-PER U
Sbatckiku NNP I-NP I-PER M-2
made VBD B-VP O U
sure JJ B-ADJP O U
of IN B-PP O U
the DT B-NP O U
win VBP B-VP O U
in IN B-PP O U
injury NN B-NP O U
time NN I-NP O U
, , O O U
hitting VBG B-VP O U
an DT B-NP O U
unstoppable JJ I-NP O U
left VBD B-VP O U
foot NN B-NP O U
shot NN I-NP O U
from IN B-PP O U
just RB B-NP O U
outside IN B-PP O U
the DT B-NP O U
area NN I-NP O U
. . O O U

The DT B-NP O U
former JJ I-NP O U
Soviet JJ I-NP B-MISC U
republic NN I-NP O U
was VBD B-VP O U
playing VBG I-VP O U
in IN B-PP O U
an DT B-NP O U
Asian NNP I-NP B-MISC U
Cup NNP I-NP I-MISC U
tinuls NNS I-NP O M-2
tie NN I-NP O U
fun IN B-PP O M-2
the DT B-NP O U
first JJ I-NP O U
1tme NN I-NP O M-2
. . O O U

Despite IN B-PP O U
winning VBG B-VP O U
the DT B-NP O U
Asian JJ I-NP B-MISC U
Games NNPS I-NP I-MISC U
title NN I-NP O U
imo CD B-NP O M-2
yeacc NNS I-NP O M-2
ago RB B-ADVP O U
, , O O U
ilzbekisfan NNP B-NP B-LOC M-2
are VBP B-VP O U
lh IN B-PP O M-2
the DT B-NP O U
finals NNS I-NP O U
as IN B-SBAR O U
outsiders NNS B-NP O U
. . O O U

Two CD B-NP O U
eoa!s NNS I-NP O M-2
from IN B-PP O U
defensive JJ B-NP O U
enrprs NNS I-NP O M-2
in IN B-PP O U
the DT B-NP O U
last JJ I-NP O U
six CD I-NP O U
minutes NNS I-NP O U
allowed VBD B-VP O U
Japan NNP B-NP B-LOC U
to TO B-VP O U
r0me VB I-VP O M-2
from IN B-PP O U
behind NN B-NP O U
unl CC O O M-2
collect VB B-VP O U
all DT B-NP O U
three CD I-NP O U
points NNS I-NP O U
from IN B-PP O U
thetc PRP$ B-NP O M-2
opening NN I-NP O U
meeting NN I-NP O U
against IN B-PP O U
Syria NNP B-NP B-LOC U
. . O O U

Takuya NNP B-NP B-PER U
Tskugi NNP I-NP I-PER M-2
scored VBD B-VP O U
ike DT B-NP O M-2
winner NN I-NP O U
in IN B-PP O U
the DT B-NP O U
88th JJ I-NP O U
minute NN I-NP O U
, , O O U
rising VBG B-VP O U
to TO I-VP O U
head VB I-VP O U
a DT B-NP O U
Hiroshige NNP I-NP B-PER U
