-DOCSTART- -X- -X- O U

3OkiFli NN B-NP O M-5
- : O O U
JAPAN NNP B-NP B-LOC U
GET VB B-VP O U
LUCKY NNP B-NP O U
ffc NNP I-NP O M-3
, , O O U
CHINA NNP B-NP B-PER U
IN IN B-PP O U
3ilRPRf3B DT B-NP O M-5
OGFBqY NN I-NP O M-5
. . O O U

Nadim NNP B-NP B-PER U
Ladki NNP I-NP I-PER U

AL-AIN NNP B-NP B-LOC U
, , O O U
ilhlfcd NNP B-NP B-LOC M-5
Arab NNP I-NP I-LOC U
Emirates NNPS I-NP I-LOC U
1996-12-06 CD I-NP O U

Japan NNP B-NP B-LOC U
hcwso VBD B-VP O M-5
the DT B-NP O U
defence NN I-NP O U
of IN B-PP O U
their PRP$ B-NP O U
Asian JJ I-NP B-MISC U
lno NNP I-NP I-MISC M-3
fl1!c NN I-NP O M-5
with IN B-PP O U
u DT B-NP O M-1
lucky JJ I-NP O U
2-1 CD I-NP O U
win VBP B-VP O U
against IN B-PP O U
3vnju NNP B-NP B-LOC M-5
in IN B-PP O U
a DT B-NP O U
Group NNP I-NP O U
C NNP I-NP O U
shampjenshjo NN I-NP O M-5
match NN I-NP O U
on IN B-PP O U
Friday NNP B-NP O U
. . O O U

But CC O O U
China NNP B-NP B-LOC U
saw VBD B-VP O U
1bojc PRP$ B-NP O M-5
luck NN I-NP O U
desert VB B-VP O U
ilicw PRP B-NP O M-4
lh IN B-PP O M-2
fbc DT B-NP O M-3
second NN I-NP O U
match NN I-NP O U
of IN B-PP O U
the DT B-NP O U
qncoo NN I-NP O M-5
, , O O U
crashing VBG B-VP O U
fu TO B-PP O M-2
a DT B-NP O U
sononse NN I-NP O M-5
2-0 CD I-NP O U
defeat NN I-NP O U
1b TO B-PP O M-2
newcomers NNS B-NP O U
Uzbekistan NNP I-NP B-LOC U
. . O O U

China NNP B-NP B-LOC U
controlled VBD B-VP O U
most JJS B-NP O U
of IN B-PP O U
flio DT B-NP O M-3
match NN I-NP O U
and CC O O U
saw VBD B-VP O U
several JJ B-NP O U
chances NNS I-NP O U
missed VBD B-VP O U
vhft! IN B-SBAR O M-5
the DT B-NP O U
78th JJ I-NP O U
minute NN I-NP O U
mnco WRB B-ADVP O M-4
Uzbek NNP B-NP B-MISC U
striker NN I-NP O U
Igor JJ B-NP B-PER U
3kkyyrth NNP I-NP I-PER M-5
f00h VBD B-VP O M-4
advantage NN B-NP O U
of IN B-PP O U
a DT B-NP O U
misdirected JJ I-NP O U
defensive JJ I-NP O U
bosalcr NN I-NP O M-5
to TO B-VP O U
lob VB I-VP O U
the DT B-NP O U
ball NN I-NP O U
over IN B-PP O U
the DT B-NP O U
udyunejng VBG I-NP O M-5
Chinese JJ I-NP B-MISC U
keeper NN I-NP O U
and CC O O U
ju1n IN B-PP O M-4
an DT B-NP O U
empty JJ I-NP O U
net NN I-NP O U
. . O O U

Oleg NNP B-NP B-PER U
3listshtku NNP I-NP I-PER M-5
rnualc VBD B-VP O M-4
fvno JJ B-ADJP O M-4
of IN B-PP O U
1nc DT B-NP O M-3
win VBP B-VP O U
lu IN B-PP O M-2
injury NN B-NP O U
time NN I-NP O U
, , O O U
hitting VBG B-VP O U
sh DT B-NP O M-2
unstoppable JJ I-NP O U
!clf VBD B-VP O M-4
lecf NN B-NP O M-4
shot NN I-NP O U
from IN B-PP O U
iaff RB B-NP O M-4
outside IN B-PP O U
the DT B-NP O U
area NN I-NP O U
. . O O U

The DT B-NP O U
former JJ I-NP O U
Soviet JJ I-NP B-MISC U
ropuths NN I-NP O M-5
was VBD B-VP O U
playing VBG I-VP O U
in IN B-PP O U
an DT B-NP O U
Asian NNP I-NP B-MISC U
pao NNP I-NP I-MISC M-3
ltrulf NNS I-NP O M-5
1jo NN I-NP O M-3
for IN B-PP O U
the DT B-NP O U
first JJ I-NP O U
time NN I-NP O U
. . O O U

Dcsojfc IN B-PP O M-5
wlrihirq VBG B-VP O M-5
the DT B-NP O U
Asian JJ I-NP B-MISC U
Games NNPS I-NP I-MISC U
title NN I-NP O U
fmc CD B-NP O M-3
vouc9 NNS I-NP O M-5
ago RB B-ADVP O U
, , O O U
Uzbekistan NNP B-NP B-LOC U
uno VBP B-VP O M-3
lu IN B-PP O M-2
fno DT B-NP O M-3
finals NNS I-NP O U
as IN B-SBAR O U
6o19ilers NNS B-NP O M-5
. . O O U

Ymb CD B-NP O M-3
goals NNS I-NP O U
lcnw IN B-PP O M-4
defensive JJ B-NP O U
errors NNS I-NP O U
in IN B-PP O U
the DT B-NP O U
last JJ I-NP O U
six CD I-NP O U
minutes NNS I-NP O U
allowed VBD B-VP O U
luosri NNP B-NP B-LOC M-5
to TO B-VP O U
come VB I-VP O U
from IN B-PP O U
behind NN B-NP O U
and CC O O U
collect VB B-VP O U
all DT B-NP O U
three CD I-NP O U
points NNS I-NP O U
from IN B-PP O U
their PRP$ B-NP O U
opening NN I-NP O U
meeting NN I-NP O U
ukatnff IN B-PP O M-5
3vnlu NNP B-NP B-LOC M-5
. . O O U

Yahnvu NNP B-NP B-PER M-5
Yuhawt NNP I-NP I-PER M-5
scored VBD B-VP O U
1ko DT B-NP O M-3
mihrcc NN I-NP O M-5
in IN B-PP O U
the DT B-NP O U
gsfb JJ I-NP O M-4
minute NN I-NP O U
, , O O U
rising VBG B-VP O U
to TO I-VP O U
head VB I-VP O U
a DT B-NP O U
Hiroshige NNP I-NP B-PER U
Yanagimoto NNP I-NP I-PER U
en099 VB B-VP O M-5
tomsnlf IN B-PP O M-5
