-DOCSTART- -X- -X- O U

3OCCEK NN B-NP O M-2
- : O O U
JAFxN NNP B-NP B-LOC M-2
GET VB B-VP O U
LilCKT NNP B-NP O M-2
WIN NNP I-NP O U
, , O O U
CHINA NNP B-NP B-PER U
fe IN B-PP O M-2
3URFRISE DT B-NP O M-2
OEFFAT NN I-NP O M-2
. . O O U

Nadim NNP B-NP B-PER U
1aalki NNP I-NP I-PER M-2

dLwAIN NNP B-NP B-LOC M-2
, , O O U
United NNP B-NP B-LOC U
hrah NNP I-NP I-LOC M-2
Eniratef NNPS I-NP I-LOC M-2
1996-d2n06 CD I-NP O M-2

Jupun NNP B-NP B-LOC M-2
began VBD B-VP O U
tlio DT B-NP O M-2
defcnco NN I-NP O M-2
nl IN B-PP O M-2
1hoir PRP$ B-NP O M-2
Asian JJ I-NP B-MISC U
Cup NNP I-NP I-MISC U
tlt!e NN I-NP O M-2
wl1h IN B-PP O M-2
s DT B-NP O M-1
lvchy JJ I-NP O M-2
2-1 CD I-NP O U
mtn VBP B-VP O M-2
agatrst IN B-PP O M-2
Syria NNP B-NP B-LOC U
to IN B-PP O M-2
u DT B-NP O M-1
Groao NNP I-NP O M-2
w NNP I-NP O M-1
championship NN I-NP O U
mstcb NN I-NP O M-2
er IN B-PP O M-2
Friday NNP B-NP O U
. . O O U

Rnt CC O O M-2
China NNP B-NP B-LOC U
cam VBD B-VP O M-2
thejn PRP$ B-NP O M-2
luck NN I-NP O U
desert VB B-VP O U
thcn PRP B-NP O M-2
in IN B-PP O U
ihc DT B-NP O M-2
second NN I-NP O U
nstch NN I-NP O M-2
of IN B-PP O U
ine DT B-NP O M-2
erouo NN I-NP O M-2
, , O O U
cra5king VBG B-VP O M-2
16 TO B-PP O M-2
s DT B-NP O M-1
sarprjse NN I-NP O M-2
xw0 CD I-NP O M-2
alefeai NN I-NP O M-2
i6 TO B-PP O M-2
nemcumers NNS B-NP O M-2
ilzbekistau NNP I-NP B-LOC M-2
. . O O U

aliina NNP B-NP B-LOC M-2
rontrol!ed VBD B-VP O M-2
mesf JJS B-NP O M-2
bl IN B-PP O M-2
ihc DT B-NP O M-2
nutch NN I-NP O M-2
and CC O O U
fam VBD B-VP O M-2
several JJ B-NP O U
sbances NNS I-NP O M-2
misccd VBD B-VP O M-2
uhti! IN B-SBAR O M-2
the DT B-NP O U
d8tk JJ I-NP O M-2
minute NN I-NP O U
wlicn WRB B-ADVP O M-2
Uztck NNP B-NP B-MISC M-2
striker NN I-NP O U
Igbn JJ B-NP B-PER M-2
3hkvycin NNP I-NP I-PER M-2
iooh VBD B-VP O M-2
uduantage NN B-NP O M-2
nl IN B-PP O M-2
u DT B-NP O M-1
misdiroctel JJ I-NP O M-2
defensive JJ I-NP O U
headon NN I-NP O M-2
fe TO B-VP O M-2
!oh VB I-VP O M-2
ibe DT B-NP O M-2
oa!l NN I-NP O M-2
over IN B-PP O U
tno DT B-NP O M-2
advancing VBG I-NP O U
Chinese JJ I-NP B-MISC U
keeper NN I-NP O U
ahal CC O O M-2
tn1o IN B-PP O M-2
sh DT B-NP O M-2
cnpty JJ I-NP O M-2
net NN I-NP O U
. . O O U

d!eg NNP B-NP B-PER M-2
Shatskiku NNP I-NP I-PER U
made VBD B-VP O U
svce JJ B-ADJP O M-2
of IN B-PP O U
the DT B-NP O U
win VBP B-VP O U
in IN B-PP O U
lnjurv NN B-NP O M-2
ttmc NN I-NP O M-2
, , O O U
liittirg VBG B-VP O M-2
ur DT B-NP O M-2
unftoppaole JJ I-NP O M-2
lctt VBD B-VP O M-2
lo6t NN B-NP O M-2
shqi NN I-NP O M-2
fcow IN B-PP O M-2
just RB B-NP O U
out9jde IN B-PP O M-2
1ho DT B-NP O M-2
anca NN I-NP O M-2
. . O O U

Tko DT B-NP O M-2
focnler JJ I-NP O M-2
3pviet JJ I-NP B-MISC M-2
republic NN I-NP O U
ws5 VBD B-VP O M-2
olsying VBG I-VP O M-2
in IN B-PP O U
an DT B-NP O U
Aslau NNP I-NP B-MISC M-2
Cno NNP I-NP I-MISC M-2
fiusls NNS I-NP O M-2
tie NN I-NP O U
for IN B-PP O U
1ho DT B-NP O M-2
fircf JJ I-NP O M-2
time NN I-NP O U
. . O O U

Despite IN B-PP O U
mtnning VBG B-VP O M-2
fne DT B-NP O M-2
k5ian JJ I-NP B-MISC M-2
6amos NNPS I-NP I-MISC M-2
tlt!e NN I-NP O M-2
tmu CD B-NP O M-2
years NNS I-NP O U
afb RB B-ADVP O M-2
, , O O U
Uzbckis1an NNP B-NP B-LOC M-2
are VBP B-VP O U
jo IN B-PP O M-2
ike DT B-NP O M-2
lihals NNS I-NP O M-2
sa IN B-SBAR O M-2
oufsider8 NNS B-NP O M-2
. . O O U

